Fund Holdings as of,"28/Apr/2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"NVDA","NVIDIA CORP","Information Technology","Equity","12,112,021,601.51","8.46","12,112,021,601.51","56,818,603.00","213.17","United States","NASDAQ","USD"
"AAPL","APPLE INC","Information Technology","Equity","9,292,841,380.02","6.49","9,292,841,380.02","34,327,662.00","270.71","United States","NASDAQ","USD"
"MSFT","MICROSOFT CORP","Information Technology","Equity","7,452,961,725.25","5.21","7,452,961,725.25","17,362,753.00","429.25","United States","NASDAQ","USD"
"AMZN","AMAZON.COM INC","Consumer Discretionary","Equity","5,931,948,717.10","4.14","5,931,948,717.10","22,841,543.00","259.70","United States","NASDAQ","USD"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","4,761,602,010.52","3.33","4,761,602,010.52","13,613,134.00","349.78","United States","NASDAQ","USD"
"AVGO","BROADCOM INC","Information Technology","Equity","4,432,584,550.59","3.10","4,432,584,550.59","11,086,173.00","399.83","United States","NASDAQ","USD"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","3,799,976,440.00","2.65","3,799,976,440.00","10,935,184.00","347.50","United States","NASDAQ","USD"
"META","META PLATFORMS INC CLASS A","Communication","Equity","3,433,283,110.50","2.40","3,433,283,110.50","5,114,075.00","671.34","United States","NASDAQ","USD"
"TSLA","TESLA INC","Consumer Discretionary","Equity","2,473,176,040.92","1.73","2,473,176,040.92","6,577,246.00","376.02","United States","NASDAQ","USD"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","2,050,199,459.60","1.43","2,050,199,459.60","4,287,685.00","478.16","United States","New York Stock Exchange Inc.","USD"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","1,963,465,514.40","1.37","1,963,465,514.40","6,304,272.00","311.45","United States","New York Stock Exchange Inc.","USD"
"LLY","ELI LILLY","Health Care","Equity","1,619,370,798.00","1.13","1,619,370,798.00","1,852,827.00","874.00","United States","New York Stock Exchange Inc.","USD"
"XOM","EXXON MOBIL CORP","Energy","Equity","1,471,181,833.44","1.03","1,471,181,833.44","9,771,399.00","150.56","United States","New York Stock Exchange Inc.","USD"
"MU","MICRON TECHNOLOGY INC","Information Technology","Equity","1,327,124,864.30","0.93","1,327,124,864.30","2,631,670.00","504.29","United States","NASDAQ","USD"
"WMT","WALMART INC","Consumer Staples","Equity","1,307,767,388.76","0.91","1,307,767,388.76","10,249,764.00","127.59","United States","NASDAQ","USD"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","1,283,561,570.34","0.90","1,283,561,570.34","5,634,846.00","227.79","United States","New York Stock Exchange Inc.","USD"
"AMD","ADVANCED MICRO DEVICES INC","Information Technology","Equity","1,231,558,414.37","0.86","1,231,558,414.37","3,810,397.00","323.21","United States","NASDAQ","USD"
"V","VISA INC CLASS A","Financials","Equity","1,215,790,563.30","0.85","1,215,790,563.30","3,930,781.00","309.30","United States","New York Stock Exchange Inc.","USD"
"COST","COSTCO WHOLESALE CORP","Consumer Staples","Equity","1,031,069,242.00","0.72","1,031,069,242.00","1,037,293.00","994.00","United States","NASDAQ","USD"
"MA","MASTERCARD INC CLASS A","Financials","Equity","966,619,648.78","0.68","966,619,648.78","1,904,219.00","507.62","United States","New York Stock Exchange Inc.","USD"
"INTC","INTEL CORPORATION CORP","Information Technology","Equity","927,912,032.68","0.65","927,912,032.68","10,978,609.00","84.52","United States","NASDAQ","USD"
"NFLX","NETFLIX INC","Communication","Equity","910,919,335.48","0.64","910,919,335.48","9,872,324.00","92.27","United States","NASDAQ","USD"
"CAT","CATERPILLAR INC","Industrials","Equity","889,782,855.49","0.62","889,782,855.49","1,087,927.00","817.87","United States","New York Stock Exchange Inc.","USD"
"CVX","CHEVRON CORP","Energy","Equity","825,580,749.84","0.58","825,580,749.84","4,382,994.00","188.36","United States","New York Stock Exchange Inc.","USD"
"BAC","BANK OF AMERICA CORP","Financials","Equity","817,026,377.18","0.57","817,026,377.18","15,515,123.00","52.66","United States","New York Stock Exchange Inc.","USD"
"ABBV","ABBVIE INC","Health Care","Equity","816,954,122.69","0.57","816,954,122.69","4,132,501.00","197.69","United States","New York Stock Exchange Inc.","USD"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","810,587,691.62","0.57","810,587,691.62","5,433,986.00","149.17","United States","New York Stock Exchange Inc.","USD"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","801,152,775.70","0.56","801,152,775.70","9,223,495.00","86.86","United States","NASDAQ","USD"
"UNH","UNITEDHEALTH GROUP INC","Health Care","Equity","777,404,958.46","0.54","777,404,958.46","2,119,598.00","366.77","United States","New York Stock Exchange Inc.","USD"
"HD","HOME DEPOT INC","Consumer Discretionary","Equity","765,953,291.06","0.54","765,953,291.06","2,327,701.00","329.06","United States","New York Stock Exchange Inc.","USD"
"PLTR","PALANTIR TECHNOLOGIES INC CLASS A","Information Technology","Equity","754,081,063.32","0.53","754,081,063.32","5,341,274.00","141.18","United States","NASDAQ","USD"
"LRCX","LAM RESEARCH CORP","Information Technology","Equity","733,562,708.55","0.51","733,562,708.55","2,919,885.00","251.23","United States","NASDAQ","USD"
"KO","COCA-COLA","Consumer Staples","Equity","709,211,742.35","0.50","709,211,742.35","9,051,841.00","78.35","United States","New York Stock Exchange Inc.","USD"
"GE","GE AEROSPACE","Industrials","Equity","709,214,703.60","0.50","709,214,703.60","2,452,333.00","289.20","United States","New York Stock Exchange Inc.","USD"
"AMAT","APPLIED MATERIAL INC","Information Technology","Equity","707,286,042.38","0.49","707,286,042.38","1,855,858.00","381.11","United States","NASDAQ","USD"
"GEV","GE VERNOVA INC","Industrials","Equity","686,246,952.79","0.48","686,246,952.79","630,203.00","1,088.93","United States","New York Stock Exchange Inc.","USD"
"ORCL","ORACLE CORP","Information Technology","Equity","658,025,425.44","0.46","658,025,425.44","3,964,964.00","165.96","United States","New York Stock Exchange Inc.","USD"
"GS","GOLDMAN SACHS GROUP INC","Financials","Equity","650,229,626.25","0.45","650,229,626.25","701,775.00","926.55","United States","New York Stock Exchange Inc.","USD"
"MRK","MERCK & CO INC","Health Care","Equity","638,469,650.61","0.45","638,469,650.61","5,802,687.00","110.03","United States","New York Stock Exchange Inc.","USD"
"PM","PHILIP MORRIS INTERNATIONAL INC","Consumer Staples","Equity","604,321,344.56","0.42","604,321,344.56","3,642,904.00","165.89","United States","New York Stock Exchange Inc.","USD"
"WFC","WELLS FARGO","Financials","Equity","589,337,584.00","0.41","589,337,584.00","7,231,136.00","81.50","United States","New York Stock Exchange Inc.","USD"
"TXN","TEXAS INSTRUMENT INC","Information Technology","Equity","562,341,395.00","0.39","562,341,395.00","2,122,043.00","265.00","United States","NASDAQ","USD"
"LIN","LINDE PLC","Materials","Equity","557,133,601.42","0.39","557,133,601.42","1,091,798.00","510.29","United States","NASDAQ","USD"
"KLAC","KLA CORP","Information Technology","Equity","554,422,170.45","0.39","554,422,170.45","306,485.00","1,808.97","United States","NASDAQ","USD"
"RTX","RTX CORP","Industrials","Equity","551,180,540.16","0.39","551,180,540.16","3,137,412.00","175.68","United States","New York Stock Exchange Inc.","USD"
"MS","MORGAN STANLEY","Financials","Equity","535,496,766.64","0.37","535,496,766.64","2,813,074.00","190.36","United States","New York Stock Exchange Inc.","USD"
"C","CITIGROUP INC","Financials","Equity","525,178,849.73","0.37","525,178,849.73","4,086,041.00","128.53","United States","New York Stock Exchange Inc.","USD"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Information Technology","Equity","509,338,050.00","0.36","509,338,050.00","2,185,625.00","233.04","United States","New York Stock Exchange Inc.","USD"
"PEP","PEPSICO INC","Consumer Staples","Equity","499,362,491.58","0.35","499,362,491.58","3,195,102.00","156.29","United States","NASDAQ","USD"
