ClientInternal,Name,Currency,Sector,Country,Exchange,Ticker,Isin,Cusip,Sedol,Figi,GicsSector,GicsIndustryGroup,GicsIndustry,MarketCap,CouponRate,DayCountConvention,IssuerCountry,InstrumentType,AssetClass,Region,PrimaryExchange,ListingStatus,ShareClass,VotingRights,DividendFrequency,DividendCurrency,LotSize,SettlementCycle,PriceSource,IndexMembership,CFICode,InstrumentClassification,CountryOfRisk,CountryOfIncorporation,LegalEntityIdentifier,ParValueCurrency,TradingCurrency,SettlementCurrency,ESGRating,CorporateGovernance,FloatPercentage,SharesOutstanding,AverageDailyVolume,Beta,PriceEarningsRatio,DividendYield,BookValuePerShare,RevenueGrowthRate,DebtToEquityRatio,ReturnOnEquity
IBOR-100,MINIMAX GROUP INC,HKD,Information Technology,China,Hong Kong Exchanges And Clearing Ltd,100,CN5899139358,W9JDT9536,1L98RQN,BBG5001B39D5,45,4510,451020,Mega Cap,,,CN,Equity,Equities,Asia Pacific,Shanghai,Active,Class A Common,Full Voting,Semi-Annual,HKD,10,T+1,Bloomberg,MSCI China,ESVUFR,Equity / Common Stock / Listed,CN,CN,6AA5E47ECC58BCBACC79,HKD,HKD,HKD,AAA,Watch,82.2,1488000000,6787781,1.17,45.4,0.3,43.77,27.5,1.63,14.9
IBOR-2308,DELTA ELECTRONICS INC,TWD,Information Technology,Taiwan,Taiwan Stock Exchange,2308,TW4580406715,DUIVWVNZW,QMQ1P70,BBG01F1A1CEC,45,4510,451020,Mega Cap,,,TW,Equity,Equities,Asia Pacific,TWSE,Active,Ordinary Shares,Limited Voting,None,TWD,100,T+2,ICE,TAIEX,ESXXXX,Equity / Common Stock / Listed,TW,TW,424821EE09EDB9E55637,TWD,TWD,TWD,CCC,Partially Compliant,73.0,7224000000,6990526,1.29,34.1,0,56.58,-2.8,1.38,10.6
IBOR-2383,ELITE MATERIAL LTD,TWD,Information Technology,Taiwan,Taiwan Stock Exchange,2383,TW3100271123,NQ3RFN8CK,W8WCVLS,BBG5B56DEBE8,45,4510,451020,Mega Cap,,,TW,Equity,Equities,Asia Pacific,TWSE,Active,Class A Common,Limited Voting,Annual,TWD,10,T+2,Bloomberg,TAIEX,ESVUFR,Equity / Common Stock / Listed,TW,TW,8259B89FF8A1C6F92794,TWD,TWD,TWD,AA,Partially Compliant,98.6,4814000000,7278091,1.3,41.7,3.37,36.72,12.8,2.01,36.6
IBOR-3017,ASIA VITAL COMPONENTS LTD,TWD,Information Technology,Taiwan,Taiwan Stock Exchange,3017,TW2480245410,0K0CT9HV1,6V69WH3,BBG16941347A,45,4510,451020,Mega Cap,,,TW,Equity,Equities,Asia Pacific,TWSE,Trading,Ordinary Shares,Limited Voting,Semi-Annual,TWD,10,T+2,Exchange,MSCI Taiwan,ESXXXX,Equity / Common Stock / Listed,TW,TW,6C78004A18B79302F444,TWD,TWD,TWD,B,Watch,86.2,12216000000,22262245,1.67,64.3,1.07,11.26,10.8,0.8,14.5
IBOR-3661,ALCHIP TECHNOLOGIES LTD,TWD,Information Technology,Taiwan,Taiwan Stock Exchange,3661,TW4761813587,FPLRN7K3H,SLXPBCN,BBGB9806EF72,45,4510,451020,Mega Cap,,,TW,Equity,Equities,Asia Pacific,TWSE,Active,Class B Common,Non-Voting,None,TWD,10,T+2,ICE,TAIEX,ESVUFR,Equity / Common Stock / Listed,TW,TW,F3885183C78436BB0641,TWD,TWD,TWD,B,Watch,85.6,13239000000,39730901,1.34,50.8,0,75.59,44.9,0.41,27.2
IBOR-3711,ASE TECHNOLOGY HOLDING LTD,TWD,Information Technology,Taiwan,Taiwan Stock Exchange,3711,TW0101877259,RHR604KNV,H6PSLWP,BBGB0A43C890,45,4510,451020,Mega Cap,,,TW,Equity,Equities,Asia Pacific,TWSE,Active,Ordinary Shares,Limited Voting,Semi-Annual,TWD,1000,T+2,Bloomberg,MSCI Taiwan,ESXXXX,Equity / Common Stock / Listed,TW,TW,0297E576ECDDADC55958,TWD,TWD,TWD,BB,Partially Compliant,85.3,10064000000,1270478,1.54,18.0,3.56,151.42,33.4,1.02,18.2
IBOR-3887,HASHKEY HOLDINGS LIMITED,HKD,Financials,Hong Kong,Hong Kong Exchanges And Clearing Ltd,3887,HK9649342616,616IP17CM,8GNFG45,BBG936F41886,40,4010,401020,Mega Cap,,,HK,Equity,Equities,Asia Pacific,HKEX,Listed,Common Stock,Limited Voting,Annual,HKD,10,T+2,Bloomberg,MSCI ACWI,ESVUFR,Equity / Common Stock / Listed,HK,HK,509EB114027EAAD36B91,HKD,HKD,HKD,BB,Watch,75.8,7126000000,11341372,1.22,64.5,2.22,5.11,11.2,0.06,46.8
IBOR-601318,PING AN INSURANCE (GROUP) OF CHINA,CNY,Financials,China,Shanghai Stock Exchange,601318,CN3214626114,E0QPIY39O,LVBYY8L,BBGBD1BAB8CB,40,4010,401020,Mega Cap,,,CN,Equity,Equities,Asia Pacific,Shenzhen,Active,Common Stock,Full Voting,Quarterly,CNY,1,T+1,Exchange,CSI 300,ESVUFR,Equity / Common Stock / Listed,CN,CN,F2EF12CC027B984EFE78,CNY,CNY,CNY,CCC,Compliant,73.7,8787000000,37396694,1.0,46.9,2.51,193.05,41.4,2.27,36.0
IBOR-6857,ADVANTEST CORP,JPY,Information Technology,Japan,Tokyo Stock Exchange,6857,JP9424334155,4G5TX54E6,CDWKBW3,BBG881F764BC,45,4510,451020,Mega Cap,,,JP,Equity,Equities,Asia Pacific,Tokyo Stock Exchange,Listed,Class A Common,Non-Voting,None,JPY,1,T+2,Refinitiv,Nikkei 225,ESVUFR,Equity / Common Stock / Listed,JP,JP,ED11E812D0246CDEFA18,JPY,JPY,JPY,A,Compliant,87.1,4770000000,39989547,1.18,15.0,0,128.07,6.4,2.72,43.7
IBOR-6920,LASERTEC CORP,JPY,Information Technology,Japan,Tokyo Stock Exchange,6920,JP6591714241,TBFUHC2Q0,L7F5W1B,BBGF8290CD3C,45,4510,451020,Mega Cap,,,JP,Equity,Equities,Asia Pacific,Tokyo Stock Exchange,Trading,Ordinary Shares,Non-Voting,None,JPY,10,T+2,Refinitiv,MSCI Japan,ESXXXX,Equity / Common Stock / Listed,JP,JP,D9D0C2ADE5321A395683,JPY,JPY,JPY,BB,Partially Compliant,77.0,8749000000,27817331,1.15,16.8,0,89.05,16.2,1.4,37.8
IBOR-700,TENCENT HOLDINGS LTD,HKD,Communication,China,Hong Kong Exchanges And Clearing Ltd,700,CN4584135217,DOTQM1W0L,0FMMNLD,BBGEAA420DBC,99,9999,999999,Large Cap,,,CN,Equity,Equities,Asia Pacific,Shanghai,Active,Class B Common,Limited Voting,Annual,HKD,1,T+1,Refinitiv,CSI 300,ESVUFR,Equity / Common Stock / Listed,CN,CN,B0635773FB6FACF07334,HKD,HKD,HKD,BB,Partially Compliant,74.1,951000000,19192848,1.02,71.2,0.49,162.56,37.8,0.29,34.3
IBOR-863,OSL GROUP LTD,HKD,Financials,Hong Kong,Hong Kong Exchanges And Clearing Ltd,863,HK1916506606,P28UB1JPV,73JF79L,BBG37C0363AD,40,4010,401020,Large Cap,,,HK,Equity,Equities,Asia Pacific,HKEX,Active,Ordinary Shares,Full Voting,None,HKD,1000,T+2,Exchange,MSCI ACWI,ESXXXX,Equity / Common Stock / Listed,HK,HK,AD787A23316DF647D561,HKD,HKD,HKD,AAA,Compliant,81.0,1799000000,18297475,1.46,65.0,0,60.62,29.8,2.19,40.3
IBOR-AAOI,APPLIED OPTOELECTRONICS INC,USD,Information Technology,United States,NASDAQ,AAOI,US5547164611,TF2YK06NP,LTF22HP,BBG486747347,45,4510,451020,Large Cap,,,US,Equity,Equities,North America,ARCA,Active,Ordinary Shares,Non-Voting,Semi-Annual,USD,1,T+1,Bloomberg,Russell 1000,ESXXXX,Equity / Common Stock / Listed,US,US,6057543D01A15FAEF417,USD,USD,USD,AAA,Watch,83.8,2375000000,11065131,1.05,45.5,3.44,18.36,-1.6,2.59,23.2
IBOR-ABBV,ABBVIE INC,USD,Health Care,United States,New York Stock Exchange Inc.,ABBV,US7323834226,7ZXUPO32T,FRVQM06,BBGF8E569E6A,99,9999,999999,Large Cap,,,US,Equity,Equities,North America,NASDAQ,Trading,Common Stock,Limited Voting,Quarterly,USD,1000,T+1,ICE,Russell 1000,ESVUFR,Equity / Common Stock / Listed,US,US,F4209F9329E3A2E84F36,USD,USD,USD,B,Watch,79.1,1287000000,27060738,0.79,55.2,1.94,186.16,41.8,0.03,33.0
IBOR-ABTC,AMERICAN BITCOIN CORP CLASS A,USD,Information Technology,United States,NASDAQ,ABTC,US2554724533,HM6XKQ0Q5,VSV80X5,BBGE79267C78,45,4510,451020,Large Cap,,,US,Equity,Equities,North America,NYSE,Active,Ordinary Shares,Limited Voting,Annual,USD,10,T+1,ICE,S&P 500,ESXXXX,Equity / Common Stock / Listed,US,US,D0B182176E87F8ED2441,USD,USD,USD,A,Partially Compliant,74.6,2425000000,47713765,1.24,78.9,3.27,108.14,28.4,1.66,46.9
IBOR-AEIS,ADVANCED ENERGY INDUSTRIES INC,USD,Information Technology,United States,NASDAQ,AEIS,US8274659054,MI309GYDV,7S2N8SX,BBG79465552A,45,4510,451020,Large Cap,,,US,Equity,Equities,North America,NYSE,Active,Class A Common,Full Voting,Quarterly,USD,10,T+1,ICE,Russell 1000,ESVUFR,Equity / Common Stock / Listed,US,US,04F28B598AB0CA6FB487,USD,USD,USD,AA,Watch,79.9,2797000000,18215659,1.4,27.6,3.65,14.91,26.7,2.49,7.0
IBOR-AMAT,APPLIED MATERIAL INC,USD,Information Technology,United States,NASDAQ,AMAT,US0382221051,038222105,2046552,BBG000BBL658,45,4510,451020,Large Cap,,,US,Equity,Equities,North America,CBOE,Active,Class A Common,Full Voting,None,USD,1000,T+1,Bloomberg,S&P 500,ESVUFR,Equity / Common Stock / Listed,US,US,C319795BC91FC6098419,USD,USD,USD,B,Compliant,85.8,1712000000,39591555,1.44,40.1,0,13.16,13.2,2.8,48.7
IBOR-AMD,ADVANCED MICRO DEVICES INC,USD,Information Technology,US,NASDAQ,AMD,US0079031078,007903107,2007849,BBG000BBQCY0,45,4510,451020,Large Cap,,,US,Equity,Equities,Global,OTC,Listed,Ordinary Shares,Limited Voting,Semi-Annual,USD,1,T+2,ICE,MSCI ACWI,ESXXXX,Equity / Common Stock / Listed,US,US,798427CA78477B769B89,USD,USD,USD,B,Compliant,96.8,1169000000,11405308,1.78,66.8,3.55,9.83,31.8,1.0,46.9
IBOR-AMZN,AMAZON.COM INC,USD,Consumer Discretionary,US,NASDAQ,AMZN,US0231351067,023135106,2000019,BBG000BVPV84,25,2510,251020,Large Cap,,,US,Equity,Equities,Global,OTC,Listed,Ordinary Shares,Limited Voting,Quarterly,USD,1000,T+2,Bloomberg,MSCI ACWI,ESXXXX,Equity / Common Stock / Listed,US,US,6E22E816A2C5BB43DA38,USD,USD,USD,AA,Partially Compliant,80.1,1132000000,15460146,0.72,23.5,1.45,173.55,43.3,0.84,33.9
IBOR-ANET,ARISTA NETWORKS INC,USD,Information Technology,United States,New York Stock Exchange Inc.,ANET,US1144219602,7C76SM3BV,015HCTG,BBG275BFEDF0,45,4510,451020,Large Cap,,,US,Equity,Equities,North America,ARCA,Trading,Class A Common,Full Voting,Quarterly,USD,100,T+1,Refinitiv,Russell 1000,ESVUFR,Equity / Common Stock / Listed,US,US,D3F17452E0021E19EA14,USD,USD,USD,AAA,Watch,82.6,1484000000,29785897,1.48,45.8,1.66,117.43,7.7,2.13,5.1
IBOR-APLD,APPLIED DIGITAL CORP,USD,Information Technology,United States,NASDAQ,APLD,US1653533446,2RRQEJQ17,1H436C3,BBG69F09ADB1,45,4510,451020,Large Cap,,,US,Equity,Equities,North America,NASDAQ,Listed,Class B Common,Full Voting,Annual,USD,100,T+1,Bloomberg,Russell 1000,ESVUFR,Equity / Common Stock / Listed,US,US,B0BD5373E3EFA717A274,USD,USD,USD,A,Watch,81.8,1848000000,47288864,1.24,18.9,1.8,188.37,28.9,2.71,32.7
IBOR-AVGO,BROADCOM INC,USD,Information Technology,US,NASDAQ,AVGO,US11135F1012,11135F101,BDZ78H9,BBG000N9MNX3,45,4510,451020,Large Cap,,,US,Equity,Equities,Global,OTC,Listed,Common Stock,Non-Voting,Annual,USD,10,T+2,Exchange,MSCI ACWI,ESVUFR,Equity / Common Stock / Listed,US,US,17101BF38C038C809D69,USD,USD,USD,BBB,Partially Compliant,89.6,2293000000,32254987,1.63,77.2,3.0,133.48,9.2,1.99,32.9
IBOR-BAC,BANK OF AMERICA CORP,USD,Financials,United States,New York Stock Exchange Inc.,BAC,US1253037540,8RDJ29933,DM8YN8V,BBG45D972600,40,4010,401020,Large Cap,,,US,Equity,Equities,North America,NYSE,Active,Class A Common,Full Voting,Semi-Annual,USD,10,T+1,Bloomberg,S&P 500,ESVUFR,Equity / Common Stock / Listed,US,US,0E7D15F9887D4D35B141,USD,USD,USD,BBB,Watch,94.6,498000000,31062461,1.15,54.1,0.94,140.79,19.7,0.73,34.5
IBOR-BKKT,BAKKT INC CLASS A,USD,Financials,United States,New York Stock Exchange Inc.,BKKT,US5412545220,282A2JLYP,1FPMNH3,BBGCC099CE44,40,4010,401020,Large Cap,,,US,Equity,Equities,North America,NYSE,Active,Class B Common,Full Voting,Semi-Annual,USD,1000,T+1,Bloomberg,NASDAQ 100,ESVUFR,Equity / Common Stock / Listed,US,US,B33A80C929860AC90F25,USD,USD,USD,BBB,Compliant,93.2,2934000000,36143657,1.49,51.7,3.81,178.83,25.6,2.16,27.7
IBOR-BLSH,BULLISH,USD,Financials,United States,New York Stock Exchange Inc.,BLSH,US8383210267,NNX21BYAI,174DLSS,BBG85034AA44,40,4010,401020,Large Cap,,,US,Equity,Equities,North America,ARCA,Active,Class B Common,Non-Voting,Annual,USD,10,T+1,ICE,MSCI USA,ESVUFR,Equity / Common Stock / Listed,US,US,F9CAD9E8FAB1DC081A90,USD,USD,USD,AA,Partially Compliant,82.8,1370000000,16236597,1.06,32.4,2.25,31.98,6.6,2.08,36.8
IBOR-BMNR,BITMINE IMMERSION TECHNOLOGIES INC,USD,Information Technology,United States,New York Stock Exchange Inc.,BMNR,US4531549432,XT2EYR9ES,6QLQNDL,BBGD4E1FAEF1,45,4510,451020,Large Cap,,,US,Equity,Equities,North America,NYSE,Listed,Class B Common,Non-Voting,None,USD,1000,T+1,Bloomberg,NASDAQ 100,ESVUFR,Equity / Common Stock / Listed,US,US,B461201068FD8E3F5863,USD,USD,USD,BBB,Watch,97.4,280000000,39133925,1.3,10.4,0,73.59,32.7,2.56,47.9
IBOR-BRKB,BERKSHIRE HATHAWAY INC CLASS B,USD,Financials,United States,New York Stock Exchange Inc.,BRKB,US3824356432,K072YU78E,376H79P,BBGF3047EAA6,40,4010,401020,Large Cap,,,US,Equity,Equities,North America,ARCA,Trading,Ordinary Shares,Non-Voting,Semi-Annual,USD,100,T+1,Exchange,MSCI USA,ESXXXX,Equity / Common Stock / Listed,US,US,D61D04BC86F57BE66B13,USD,USD,USD,BBB,Partially Compliant,89.4,1856000000,49098989,1.0,42.7,0.68,126.34,-3.7,1.18,30.4
IBOR-BTBT,BIT DIGITAL INC,USD,Information Technology,United States,NASDAQ,BTBT,US0248073501,C0NRCDEJ4,8S77BL4,BBGAB374027B,45,4510,451020,Large Cap,,,US,Equity,Equities,North America,NYSE,Active,Class B Common,Full Voting,None,USD,10,T+1,Bloomberg,Russell 1000,ESVUFR,Equity / Common Stock / Listed,US,US,AED9580259A734D2E358,USD,USD,USD,A,Compliant,83.2,1582000000,25942729,1.22,76.6,0,87.21,36.7,1.41,38.7
IBOR-BTDR,BITDEER TECHNOLOGIES GROUP CLASS A,USD,Information Technology,Singapore,NASDAQ,BTDR,SG4723543291,ZZ2U1RR8M,8FTC34L,BBG3DC5882AA,45,4510,451020,Large Cap,,,SG,Equity,Equities,Asia Pacific,SGX,Listed,Ordinary Shares,Limited Voting,Quarterly,USD,1,T+2,Bloomberg,MSCI ACWI,ESXXXX,Equity / Common Stock / Listed,SG,SG,CC3089992B61BB966135,USD,USD,USD,CCC,Compliant,88.0,1177000000,8970546,1.38,18.0,3.8,95.68,7.8,1.11,32.3
IBOR-BTGO,BITGO HOLDINGS INC CLASS A,USD,Financials,United States,New York Stock Exchange Inc.,BTGO,US3529061121,HLMH67FCN,10LJJPJ,BBGA0D6A167C,40,4010,401020,Large Cap,,,US,Equity,Equities,North America,NYSE,Active,Class A Common,Full Voting,Quarterly,USD,100,T+1,Exchange,MSCI USA,ESVUFR,Equity / Common Stock / Listed,US,US,0EF39E6182312D226F35,USD,USD,USD,AAA,Watch,90.0,2769000000,16797346,0.96,64.1,3.43,122.08,1.1,2.95,40.2
IBOR-C,CITIGROUP INC,USD,Financials,United States,New York Stock Exchange Inc.,C,US0361583707,DPWJCTTTB,6YBDH61,BBG0ECDB3805,40,4010,401020,Large Cap,,,US,Equity,Equities,North America,CBOE,Trading,Class B Common,Limited Voting,Annual,USD,1,T+1,ICE,S&P 500,ESVUFR,Equity / Common Stock / Listed,US,US,A5C9EDC1716F1CAE7863,USD,USD,USD,CCC,Partially Compliant,73.1,1683000000,43153394,1.43,42.2,0.78,39.35,21.1,1.95,32.7
IBOR-CAN,CANAAN ADR REPRESENTING CLASS A I,USD,Information Technology,China,NASDAQ,CAN,CN6350505709,188VPIIAS,BKJD6YS,BBG82835B821,45,4510,451020,Large Cap,,,CN,Equity,Equities,Asia Pacific,Shenzhen,Listed,Class B Common,Limited Voting,Annual,USD,100,T+1,Refinitiv,CSI 300,ESVUFR,Equity / Common Stock / Listed,CN,CN,C5056DEB280F2E0C7145,USD,USD,USD,BBB,Compliant,91.8,2534000000,41458667,1.53,33.5,2.08,68.38,19.4,1.06,16.6
IBOR-CANG,CANGO INC CLASS A,USD,Consumer Discretionary,China,New York Stock Exchange Inc.,CANG,CN6281379040,0VZAUIU4E,1Q05Y2N,BBGA6A744E40,25,2510,251020,Large Cap,,,CN,Equity,Equities,Asia Pacific,Shenzhen,Trading,Class A Common,Limited Voting,Quarterly,USD,10,T+1,Bloomberg,CSI 300,ESVUFR,Equity / Common Stock / Listed,CN,CN,B107FB6D3F38B52A4662,USD,USD,USD,BBB,Watch,92.0,2150000000,43845809,1.2,41.4,0.27,62.38,15.2,0.73,34.9
IBOR-CAT,CATERPILLAR INC,USD,Industrials,United States,New York Stock Exchange Inc.,CAT,US2010410552,CQ9LPYQKD,G2YB6PH,BBG2AC17D17A,20,2010,201030,Large Cap,,,US,Equity,Equities,North America,CBOE,Listed,Class A Common,Non-Voting,Annual,USD,100,T+1,Exchange,Russell 1000,ESVUFR,Equity / Common Stock / Listed,US,US,34C58ABD2213E21C7E49,USD,USD,USD,A,Compliant,73.5,988000000,21676064,0.78,47.5,3.1,41.1,5.8,1.45,37.6
IBOR-CD,CHAINCE DIGITAL HOLDINGS INC,USD,Information Technology,China,NASDAQ,CD,CN4170023607,T4SYVFUXD,2JPCFJ9,BBG6953F2F56,45,4510,451020,Large Cap,,,CN,Equity,Equities,Asia Pacific,Shenzhen,Active,Ordinary Shares,Non-Voting,Semi-Annual,USD,100,T+1,Refinitiv,SSE 50,ESXXXX,Equity / Common Stock / Listed,CN,CN,862D9DE273CAE922BD11,USD,USD,USD,B,Watch,73.7,386000000,4159179,1.44,58.8,0.68,174.35,19.5,2.62,30.8
IBOR-CIFR,CIPHER DIGITAL INC,USD,Information Technology,United States,NASDAQ,CIFR,US0862183552,O0OXJL75K,9V8PRVK,BBG18C3A35FD,45,4510,451020,Large Cap,,,US,Equity,Equities,North America,ARCA,Listed,Class B Common,Non-Voting,Semi-Annual,USD,1,T+1,ICE,MSCI USA,ESVUFR,Equity / Common Stock / Listed,US,US,0672D1EAFBD9CFCC3024,USD,USD,USD,CCC,Compliant,81.6,503000000,39223234,1.5,13.8,0.77,114.75,10.2,2.98,10.3
IBOR-CLS,CELESTICA INC,USD,Information Technology,Canada,New York Stock Exchange Inc.,CLS,CA8052322738,UKO3TKA7X,DVJQ43L,BBGF83A06801,45,4510,451020,Large Cap,,,CA,Equity,Equities,North America,TSX,Trading,Ordinary Shares,Limited Voting,None,USD,1000,T+1,Exchange,MSCI Canada,ESXXXX,Equity / Common Stock / Listed,CA,CA,7A6619E943B545AC0285,USD,USD,USD,BBB,Partially Compliant,86.5,446000000,41411637,1.77,16.9,0,153.73,26.3,0.79,8.7
IBOR-CLSK,CLEANSPARK INC,USD,Information Technology,United States,NASDAQ,CLSK,US1021323107,GN4TFBV3F,Y9S3KFH,BBGC53FC8A1F,45,4510,451020,Large Cap,,,US,Equity,Equities,North America,NASDAQ,Active,Common Stock,Full Voting,Quarterly,USD,1000,T+1,Exchange,MSCI USA,ESVUFR,Equity / Common Stock / Listed,US,US,B16D40ABF036938C9847,USD,USD,USD,AAA,Compliant,78.4,1358000000,47676696,1.69,15.0,1.09,56.59,34.6,1.77,41.2
IBOR-COIN,COINBASE GLOBAL INC CLASS A,USD,Financials,US,NASDAQ,COIN,US19260Q1076,19260Q107,BMC9P69,BBG00ZGF7771,40,4010,401020,Large Cap,,,US,Equity,Equities,Global,OTC,Listed,Common Stock,Limited Voting,Semi-Annual,USD,10,T+2,ICE,MSCI ACWI,ESVUFR,Equity / Common Stock / Listed,US,US,C08130F290293D63C619,USD,USD,USD,AAA,Compliant,93.0,2637000000,38698838,1.45,40.7,1.98,64.3,15.1,0.82,29.3
IBOR-CORZ,CORE SCIENTIFIC INC,USD,Information Technology,United States,NASDAQ,CORZ,US8414929021,OKC0EXM2W,VM3HB9L,BBG7EA5F523B,45,4510,451020,Large Cap,,,US,Equity,Equities,North America,ARCA,Active,Common Stock,Non-Voting,Annual,USD,100,T+1,Bloomberg,S&P 500,ESVUFR,Equity / Common Stock / Listed,US,US,E4F67069ACEB121D0639,USD,USD,USD,B,Watch,87.0,284000000,45616053,1.66,50.3,3.1,39.16,20.9,1.33,17.5
IBOR-COST,COSTCO WHOLESALE CORP,USD,Consumer Staples,US,NASDAQ,COST,US22160K1051,22160K105,2701271,BBG000F6H8W8,30,3010,301010,Mid Cap,,,US,Equity,Equities,Global,OTC,Trading,Class B Common,Full Voting,None,USD,100,T+2,Exchange,MSCI ACWI,ESVUFR,Equity / Common Stock / Listed,US,US,CD9C04395AE472812D51,USD,USD,USD,B,Compliant,94.9,218000000,28125034,1.19,30.2,0,189.31,35.7,1.65,25.5
IBOR-CRCL,CIRCLE INTERNET GROUP INC CLASS A,USD,Information Technology,United States,New York Stock Exchange Inc.,CRCL,US3514250938,RA19HNKF8,93B9TP9,BBG7E7B98A13,45,4510,451020,Mid Cap,,,US,Equity,Equities,North America,CBOE,Listed,Class A Common,Full Voting,None,USD,1,T+1,Exchange,MSCI USA,ESVUFR,Equity / Common Stock / Listed,US,US,3572BA6DE5C6389ACD16,USD,USD,USD,AA,Watch,80.5,437000000,33953305,1.5,63.2,0,44.69,22.5,2.78,24.7
IBOR-CRDO,CREDO TECHNOLOGY GROUP HOLDING LTD,USD,Information Technology,United States,NASDAQ,CRDO,US0749552125,N1NXP9R5Q,L342MCY,BBGD6C90FD65,45,4510,451020,Mid Cap,,,US,Equity,Equities,North America,ARCA,Active,Common Stock,Limited Voting,Semi-Annual,USD,10,T+1,ICE,S&P 500,ESVUFR,Equity / Common Stock / Listed,US,US,9A8D3FE82B36FA9FD480,USD,USD,USD,BBB,Compliant,76.5,480000000,8114246,1.37,18.2,3.36,102.18,30.8,1.53,17.3
