ClientInternal,Provider,QuoteType,Field,EffectiveAt,Value,Unit
IBOR-AAPL,Client,Price,mid,2024-01-01,178,USD
IBOR-AAPL,Client,Price,mid,2024-01-31,178.12,USD
IBOR-AAPL,Client,Price,mid,2024-03-01,178.09,USD
IBOR-AAPL,Client,Price,mid,2024-03-31,178.39,USD
IBOR-AAPL,Client,Price,mid,2024-04-30,183.04,USD
IBOR-AAPL,Client,Price,mid,2024-05-30,183.25,USD
IBOR-AAPL,Client,Price,mid,2024-06-29,175.93,USD
IBOR-AAPL,Client,Price,mid,2024-07-29,178.56,USD
IBOR-AAPL,Client,Price,mid,2024-08-28,178.02,USD
IBOR-AAPL,Client,Price,mid,2024-09-27,177.75,USD
IBOR-AAPL,Client,Price,mid,2024-10-27,179.26,USD
IBOR-AAPL,Client,Price,mid,2024-11-26,181.41,USD
IBOR-AAPL,Client,Price,mid,2024-12-26,188.65,USD
IBOR-AAPL,Client,Price,mid,2025-01-25,193.31,USD
IBOR-AAPL,Client,Price,mid,2025-02-24,194.92,USD
IBOR-AAPL,Client,Price,mid,2025-03-26,191.58,USD
IBOR-AAPL,Client,Price,mid,2025-04-25,186.71,USD
IBOR-AAPL,Client,Price,mid,2025-05-25,189.02,USD
IBOR-MSFT,Client,Price,mid,2024-01-01,405,USD
IBOR-MSFT,Client,Price,mid,2024-01-31,422.95,USD
IBOR-MSFT,Client,Price,mid,2024-03-01,425.59,USD
IBOR-MSFT,Client,Price,mid,2024-03-31,426.36,USD
IBOR-MSFT,Client,Price,mid,2024-04-30,435.29,USD
IBOR-MSFT,Client,Price,mid,2024-05-30,418.49,USD
IBOR-MSFT,Client,Price,mid,2024-06-29,416.66,USD
IBOR-MSFT,Client,Price,mid,2024-07-29,424.87,USD
IBOR-MSFT,Client,Price,mid,2024-08-28,438.13,USD
IBOR-MSFT,Client,Price,mid,2024-09-27,437.16,USD
IBOR-MSFT,Client,Price,mid,2024-10-27,444.28,USD
IBOR-MSFT,Client,Price,mid,2024-11-26,449.81,USD
IBOR-MSFT,Client,Price,mid,2024-12-26,462.62,USD
IBOR-MSFT,Client,Price,mid,2025-01-25,449.48,USD
IBOR-MSFT,Client,Price,mid,2025-02-24,459.39,USD
