ClientInternal,Provider,QuoteType,Field,EffectiveAt,Value,Unit
IBOR-ESZ4,Client,Price,mid,2024-01-01,5445.68,USD
IBOR-ESZ4,Client,Price,mid,2024-01-31,5494.81,USD
IBOR-ESZ4,Client,Price,mid,2024-03-01,5546.66,USD
IBOR-ESZ4,Client,Price,mid,2024-03-31,5621.06,USD
IBOR-ESZ4,Client,Price,mid,2024-04-30,5646.17,USD
IBOR-ESZ4,Client,Price,mid,2024-05-30,5655.08,USD
IBOR-ESZ4,Client,Price,mid,2024-06-29,5759.97,USD
IBOR-ESZ4,Client,Price,mid,2024-07-29,5791.98,USD
IBOR-ESZ4,Client,Price,mid,2024-08-28,5843.49,USD
IBOR-ESZ4,Client,Price,mid,2024-09-27,5903.48,USD
IBOR-ESZ4,Client,Price,mid,2024-10-27,5956.97,USD
IBOR-ESZ4,Client,Price,mid,2024-11-26,6034.91,USD
IBOR-ESZ4,Client,Price,mid,2024-12-26,6050,USD
IBOR-TYZ4,Client,Price,mid,2024-01-01,110.51,USD
IBOR-TYZ4,Client,Price,mid,2024-01-31,110.58,USD
IBOR-TYZ4,Client,Price,mid,2024-03-01,110.7,USD
IBOR-TYZ4,Client,Price,mid,2024-03-31,110.96,USD
IBOR-TYZ4,Client,Price,mid,2024-04-30,111.2,USD
IBOR-TYZ4,Client,Price,mid,2024-05-30,111.23,USD
IBOR-TYZ4,Client,Price,mid,2024-06-29,111.37,USD
IBOR-TYZ4,Client,Price,mid,2024-07-29,111.57,USD
IBOR-TYZ4,Client,Price,mid,2024-08-28,111.54,USD
IBOR-TYZ4,Client,Price,mid,2024-09-27,111.79,USD
IBOR-TYZ4,Client,Price,mid,2024-10-27,112.0,USD
IBOR-TYZ4,Client,Price,mid,2024-11-26,112.18,USD
IBOR-TYZ4,Client,Price,mid,2024-12-26,112.25,USD
IBOR-CLF5,Client,Price,mid,2024-01-01,78.61,USD
IBOR-CLF5,Client,Price,mid,2024-01-31,78.07,USD
IBOR-CLF5,Client,Price,mid,2024-03-01,77.73,USD
IBOR-CLF5,Client,Price,mid,2024-03-31,76.67,USD
IBOR-CLF5,Client,Price,mid,2024-04-30,76.67,USD
IBOR-CLF5,Client,Price,mid,2024-05-30,75.55,USD
IBOR-CLF5,Client,Price,mid,2024-06-29,74.71,USD
IBOR-CLF5,Client,Price,mid,2024-07-29,74.82,USD
