InstrumentId,InstrumentIdType,Provider,QuoteType,Field,EffectiveAt,Value,Unit
GBP/USD,CurrencyPair,Client,Price,mid,2024-01-01,1.273,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-01-01,1.084,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-01-02,1.2727,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-01-02,1.0867,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-01-03,1.2723,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-01-03,1.0852,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-01-04,1.2721,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-01-04,1.0846,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-01-05,1.275,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-01-05,1.0874,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-01-08,1.2748,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-01-08,1.0894,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-01-09,1.2693,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-01-09,1.0896,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-01-10,1.2708,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-01-10,1.0872,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-01-11,1.27,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-01-11,1.0886,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-01-12,1.2694,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-01-12,1.0874,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-01-15,1.2701,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-01-15,1.0856,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-01-16,1.2712,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-01-16,1.0844,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-01-17,1.2759,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-01-17,1.0852,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-01-18,1.2787,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-01-18,1.0808,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-01-19,1.2794,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-01-19,1.0818,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-01-22,1.2768,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-01-22,1.0824,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-01-23,1.2732,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-01-23,1.0814,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-01-24,1.2744,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-01-24,1.0839,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-01-25,1.2797,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-01-25,1.0854,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-01-26,1.2801,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-01-26,1.0843,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-01-29,1.2799,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-01-29,1.0831,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-01-30,1.2822,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-01-30,1.0848,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-01-31,1.2769,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-01-31,1.0817,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-02-01,1.276,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-02-01,1.0812,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-02-02,1.2781,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-02-02,1.0801,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-02-05,1.2817,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-02-05,1.0805,USD/EUR
