ClientInternal,Provider,QuoteType,Field,EffectiveAt,Value,Unit
IBOR-GAGG-001,Client,Price,mid,2024-01-01,1.029786,USD
IBOR-GAGG-001,Client,Price,mid,2024-01-31,1.016453,USD
IBOR-GAGG-001,Client,Price,mid,2024-03-01,1.019415,USD
IBOR-GAGG-001,Client,Price,mid,2024-03-31,1.046144,USD
IBOR-GAGG-001,Client,Price,mid,2024-04-30,0.995182,USD
IBOR-GAGG-001,Client,Price,mid,2024-05-30,0.976129,USD
IBOR-GAGG-001,Client,Price,mid,2024-06-29,1.031834,USD
IBOR-GAGG-001,Client,Price,mid,2024-07-29,1.02482,USD
IBOR-GAGG-001,Client,Price,mid,2024-08-28,1.027746,USD
IBOR-GAGG-001,Client,Price,mid,2024-09-27,1.016558,USD
IBOR-GAGG-001,Client,Price,mid,2024-10-27,1.009307,USD
IBOR-GAGG-001,Client,Price,mid,2024-11-26,1.013787,USD
IBOR-GAGG-001,Client,Price,mid,2024-12-26,1.023098,USD
IBOR-GAGG-001,Client,Price,mid,2025-01-25,1.041434,USD
IBOR-GAGG-001,Client,Price,mid,2025-02-24,1.000387,USD
IBOR-GAGG-001,Client,Price,mid,2025-03-26,1.01001,USD
IBOR-GAGG-001,Client,Price,mid,2025-04-25,0.983105,USD
IBOR-GAGG-001,Client,Price,mid,2025-05-25,0.994572,USD
IBOR-GAGG-002,Client,Price,mid,2024-01-01,0.961285,CNY
IBOR-GAGG-002,Client,Price,mid,2024-01-31,0.921579,CNY
IBOR-GAGG-002,Client,Price,mid,2024-03-01,0.944404,CNY
IBOR-GAGG-002,Client,Price,mid,2024-03-31,0.960457,CNY
IBOR-GAGG-002,Client,Price,mid,2024-04-30,0.968118,CNY
IBOR-GAGG-002,Client,Price,mid,2024-05-30,0.945837,CNY
IBOR-GAGG-002,Client,Price,mid,2024-06-29,0.958182,CNY
IBOR-GAGG-002,Client,Price,mid,2024-07-29,0.955614,CNY
IBOR-GAGG-002,Client,Price,mid,2024-08-28,0.966296,CNY
IBOR-GAGG-002,Client,Price,mid,2024-09-27,0.928385,CNY
IBOR-GAGG-002,Client,Price,mid,2024-10-27,0.962015,CNY
IBOR-GAGG-002,Client,Price,mid,2024-11-26,0.920359,CNY
IBOR-GAGG-002,Client,Price,mid,2024-12-26,0.898251,CNY
IBOR-GAGG-002,Client,Price,mid,2025-01-25,0.938512,CNY
IBOR-GAGG-002,Client,Price,mid,2025-02-24,0.932334,CNY
IBOR-GAGG-002,Client,Price,mid,2025-03-26,0.96817,CNY
IBOR-GAGG-002,Client,Price,mid,2025-04-25,0.963935,CNY
IBOR-GAGG-002,Client,Price,mid,2025-05-25,0.926268,CNY
IBOR-GAGG-003,Client,Price,mid,2024-01-01,1.008555,USD
IBOR-GAGG-003,Client,Price,mid,2024-01-31,1.021582,USD
IBOR-GAGG-003,Client,Price,mid,2024-03-01,1.049963,USD
IBOR-GAGG-003,Client,Price,mid,2024-03-31,1.040255,USD
IBOR-GAGG-003,Client,Price,mid,2024-04-30,1.034173,USD
IBOR-GAGG-003,Client,Price,mid,2024-05-30,1.044078,USD
IBOR-GAGG-003,Client,Price,mid,2024-06-29,1.037167,USD
IBOR-GAGG-003,Client,Price,mid,2024-07-29,1.045346,USD
IBOR-GAGG-003,Client,Price,mid,2024-08-28,1.031201,USD
IBOR-GAGG-003,Client,Price,mid,2024-09-27,1.064154,USD
IBOR-GAGG-003,Client,Price,mid,2024-10-27,1.023468,USD
IBOR-GAGG-003,Client,Price,mid,2024-11-26,1.05061,USD
IBOR-GAGG-003,Client,Price,mid,2024-12-26,1.040138,USD
IBOR-GAGG-003,Client,Price,mid,2025-01-25,1.051426,USD
IBOR-GAGG-003,Client,Price,mid,2025-02-24,1.062814,USD
IBOR-GAGG-003,Client,Price,mid,2025-03-26,1.024968,USD
IBOR-GAGG-003,Client,Price,mid,2025-04-25,1.026686,USD
IBOR-GAGG-003,Client,Price,mid,2025-05-25,1.028411,USD
IBOR-GAGG-004,Client,Price,mid,2024-01-01,1.033027,USD
IBOR-GAGG-004,Client,Price,mid,2024-01-31,1.039629,USD
IBOR-GAGG-004,Client,Price,mid,2024-03-01,1.05144,USD
IBOR-GAGG-004,Client,Price,mid,2024-03-31,1.021032,USD
IBOR-GAGG-004,Client,Price,mid,2024-04-30,0.994454,USD
IBOR-GAGG-004,Client,Price,mid,2024-05-30,1.012271,USD
IBOR-GAGG-004,Client,Price,mid,2024-06-29,1.041971,USD
IBOR-GAGG-004,Client,Price,mid,2024-07-29,0.994039,USD
IBOR-GAGG-004,Client,Price,mid,2024-08-28,1.023583,USD
IBOR-GAGG-004,Client,Price,mid,2024-09-27,1.027977,USD
IBOR-GAGG-004,Client,Price,mid,2024-10-27,1.016601,USD
IBOR-GAGG-004,Client,Price,mid,2024-11-26,1.037385,USD
IBOR-GAGG-004,Client,Price,mid,2024-12-26,1.034528,USD
IBOR-GAGG-004,Client,Price,mid,2025-01-25,1.069341,USD
IBOR-GAGG-004,Client,Price,mid,2025-02-24,1.035312,USD
IBOR-GAGG-004,Client,Price,mid,2025-03-26,1.010725,USD
IBOR-GAGG-004,Client,Price,mid,2025-04-25,1.011677,USD
IBOR-GAGG-004,Client,Price,mid,2025-05-25,1.006281,USD
IBOR-GAGG-005,Client,Price,mid,2024-01-01,1.026286,CNY
IBOR-GAGG-005,Client,Price,mid,2024-01-31,1.045466,CNY
IBOR-GAGG-005,Client,Price,mid,2024-03-01,1.041999,CNY
IBOR-GAGG-005,Client,Price,mid,2024-03-31,1.067125,CNY
IBOR-GAGG-005,Client,Price,mid,2024-04-30,1.039335,CNY
IBOR-GAGG-005,Client,Price,mid,2024-05-30,1.06788,CNY
IBOR-GAGG-005,Client,Price,mid,2024-06-29,1.057629,CNY
IBOR-GAGG-005,Client,Price,mid,2024-07-29,1.029362,CNY
IBOR-GAGG-005,Client,Price,mid,2024-08-28,1.054735,CNY
IBOR-GAGG-005,Client,Price,mid,2024-09-27,1.109491,CNY
IBOR-GAGG-005,Client,Price,mid,2024-10-27,1.032738,CNY
IBOR-GAGG-005,Client,Price,mid,2024-11-26,1.040932,CNY
IBOR-GAGG-005,Client,Price,mid,2024-12-26,1.050675,CNY
IBOR-GAGG-005,Client,Price,mid,2025-01-25,1.044267,CNY
IBOR-GAGG-005,Client,Price,mid,2025-02-24,1.016778,CNY
IBOR-GAGG-005,Client,Price,mid,2025-03-26,1.016008,CNY
