ClientInternal,Provider,QuoteType,Field,EffectiveAt,Value,Unit
IBOR-AMZN,Client,Price,mid,2024-01-01,219.62,USD
IBOR-AMZN,Client,Price,mid,2024-01-31,221.56,USD
IBOR-AMZN,Client,Price,mid,2024-03-01,224.21,USD
IBOR-AMZN,Client,Price,mid,2024-03-31,232.71,USD
IBOR-AMZN,Client,Price,mid,2024-04-30,228.41,USD
IBOR-AMZN,Client,Price,mid,2024-05-30,219.9,USD
IBOR-AMZN,Client,Price,mid,2024-06-29,236.32,USD
IBOR-AMZN,Client,Price,mid,2024-07-29,233.81,USD
IBOR-AMZN,Client,Price,mid,2024-08-28,236.37,USD
IBOR-AMZN,Client,Price,mid,2024-09-27,241.13,USD
IBOR-AMZN,Client,Price,mid,2024-10-27,244.2,USD
IBOR-AMZN,Client,Price,mid,2024-11-26,253.62,USD
IBOR-AMZN,Client,Price,mid,2024-12-26,251.83,USD
IBOR-AMZN,Client,Price,mid,2025-01-25,249.74,USD
IBOR-AMZN,Client,Price,mid,2025-02-24,245.29,USD
IBOR-AMZN,Client,Price,mid,2025-03-26,245.3,USD
IBOR-AMZN,Client,Price,mid,2025-04-25,257.29,USD
IBOR-AMZN,Client,Price,mid,2025-05-25,267.75,USD
IBOR-GOOGL,Client,Price,mid,2024-01-01,297.75,USD
IBOR-GOOGL,Client,Price,mid,2024-01-31,299.11,USD
IBOR-GOOGL,Client,Price,mid,2024-03-01,308.72,USD
IBOR-GOOGL,Client,Price,mid,2024-03-31,290.8,USD
IBOR-GOOGL,Client,Price,mid,2024-04-30,305.7,USD
IBOR-GOOGL,Client,Price,mid,2024-05-30,317.03,USD
IBOR-GOOGL,Client,Price,mid,2024-06-29,323.97,USD
IBOR-GOOGL,Client,Price,mid,2024-07-29,315.19,USD
IBOR-GOOGL,Client,Price,mid,2024-08-28,324.58,USD
IBOR-GOOGL,Client,Price,mid,2024-09-27,326.15,USD
IBOR-GOOGL,Client,Price,mid,2024-10-27,334.67,USD
IBOR-GOOGL,Client,Price,mid,2024-11-26,317.69,USD
IBOR-GOOGL,Client,Price,mid,2024-12-26,338.25,USD
IBOR-GOOGL,Client,Price,mid,2025-01-25,319.31,USD
IBOR-GOOGL,Client,Price,mid,2025-02-24,310.63,USD
IBOR-GOOGL,Client,Price,mid,2025-03-26,334.67,USD
IBOR-GOOGL,Client,Price,mid,2025-04-25,334.34,USD
IBOR-GOOGL,Client,Price,mid,2025-05-25,356.06,USD
IBOR-AVGO,Client,Price,mid,2024-01-01,347.82,USD
IBOR-AVGO,Client,Price,mid,2024-01-31,328.56,USD
IBOR-AVGO,Client,Price,mid,2024-03-01,356.68,USD
IBOR-AVGO,Client,Price,mid,2024-03-31,337.83,USD
IBOR-AVGO,Client,Price,mid,2024-04-30,352.15,USD
IBOR-AVGO,Client,Price,mid,2024-05-30,352.99,USD
IBOR-AVGO,Client,Price,mid,2024-06-29,361.22,USD
IBOR-AVGO,Client,Price,mid,2024-07-29,373.0,USD
IBOR-AVGO,Client,Price,mid,2024-08-28,374.17,USD
IBOR-AVGO,Client,Price,mid,2024-09-27,374.04,USD
IBOR-AVGO,Client,Price,mid,2024-10-27,380.97,USD
IBOR-AVGO,Client,Price,mid,2024-11-26,382.25,USD
IBOR-AVGO,Client,Price,mid,2024-12-26,372.32,USD
IBOR-AVGO,Client,Price,mid,2025-01-25,374.57,USD
IBOR-AVGO,Client,Price,mid,2025-02-24,380.87,USD
IBOR-AVGO,Client,Price,mid,2025-03-26,395.82,USD
IBOR-AVGO,Client,Price,mid,2025-04-25,390.17,USD
IBOR-AVGO,Client,Price,mid,2025-05-25,424.52,USD
IBOR-GOOG,Client,Price,mid,2024-01-01,286.83,USD
IBOR-GOOG,Client,Price,mid,2024-01-31,286.82,USD
IBOR-GOOG,Client,Price,mid,2024-03-01,309.18,USD
IBOR-GOOG,Client,Price,mid,2024-03-31,318.89,USD
IBOR-GOOG,Client,Price,mid,2024-04-30,312.23,USD
IBOR-GOOG,Client,Price,mid,2024-05-30,318.57,USD
IBOR-GOOG,Client,Price,mid,2024-06-29,327.62,USD
IBOR-GOOG,Client,Price,mid,2024-07-29,314.67,USD
IBOR-GOOG,Client,Price,mid,2024-08-28,303.71,USD
IBOR-GOOG,Client,Price,mid,2024-09-27,315.89,USD
IBOR-GOOG,Client,Price,mid,2024-10-27,334.27,USD
IBOR-GOOG,Client,Price,mid,2024-11-26,312.18,USD
IBOR-GOOG,Client,Price,mid,2024-12-26,330.47,USD
IBOR-GOOG,Client,Price,mid,2025-01-25,335.66,USD
IBOR-GOOG,Client,Price,mid,2025-02-24,332.63,USD
IBOR-GOOG,Client,Price,mid,2025-03-26,346.36,USD
IBOR-GOOG,Client,Price,mid,2025-04-25,347.76,USD
IBOR-GOOG,Client,Price,mid,2025-05-25,368.8,USD
IBOR-META,Client,Price,mid,2024-01-01,583.13,USD
IBOR-META,Client,Price,mid,2024-01-31,563.96,USD
IBOR-META,Client,Price,mid,2024-03-01,570.51,USD
IBOR-META,Client,Price,mid,2024-03-31,570.67,USD
IBOR-META,Client,Price,mid,2024-04-30,612.2,USD
IBOR-META,Client,Price,mid,2024-05-30,587.2,USD
IBOR-META,Client,Price,mid,2024-06-29,602.79,USD
IBOR-META,Client,Price,mid,2024-07-29,624.89,USD
IBOR-META,Client,Price,mid,2024-08-28,600.82,USD
IBOR-META,Client,Price,mid,2024-09-27,615.08,USD
IBOR-META,Client,Price,mid,2024-10-27,589.5,USD
IBOR-META,Client,Price,mid,2024-11-26,610.38,USD
IBOR-META,Client,Price,mid,2024-12-26,626.34,USD
IBOR-META,Client,Price,mid,2025-01-25,651.74,USD
IBOR-META,Client,Price,mid,2025-02-24,673.0,USD
IBOR-META,Client,Price,mid,2025-03-26,654.18,USD
IBOR-META,Client,Price,mid,2025-04-25,665.41,USD
IBOR-META,Client,Price,mid,2025-05-25,669.13,USD
IBOR-TSLA,Client,Price,mid,2024-01-01,331.85,USD
IBOR-TSLA,Client,Price,mid,2024-01-31,332.83,USD
IBOR-TSLA,Client,Price,mid,2024-03-01,328.97,USD
IBOR-TSLA,Client,Price,mid,2024-03-31,317.61,USD
IBOR-TSLA,Client,Price,mid,2024-04-30,342.34,USD
IBOR-TSLA,Client,Price,mid,2024-05-30,339.58,USD
IBOR-TSLA,Client,Price,mid,2024-06-29,352.26,USD
IBOR-TSLA,Client,Price,mid,2024-07-29,341.21,USD
IBOR-TSLA,Client,Price,mid,2024-08-28,366.72,USD
IBOR-TSLA,Client,Price,mid,2024-09-27,343.77,USD
IBOR-TSLA,Client,Price,mid,2024-10-27,368.92,USD
IBOR-TSLA,Client,Price,mid,2024-11-26,355.38,USD
IBOR-TSLA,Client,Price,mid,2024-12-26,351.4,USD
IBOR-TSLA,Client,Price,mid,2025-01-25,347.62,USD
IBOR-TSLA,Client,Price,mid,2025-02-24,361.78,USD
IBOR-TSLA,Client,Price,mid,2025-03-26,382.68,USD
IBOR-TSLA,Client,Price,mid,2025-04-25,378.96,USD
IBOR-TSLA,Client,Price,mid,2025-05-25,380.66,USD
IBOR-BRKB,Client,Price,mid,2024-01-01,372.35,USD
IBOR-BRKB,Client,Price,mid,2024-01-31,420.62,USD
IBOR-BRKB,Client,Price,mid,2024-03-01,422.38,USD
IBOR-BRKB,Client,Price,mid,2024-03-31,410.5,USD
IBOR-BRKB,Client,Price,mid,2024-04-30,413.37,USD
IBOR-BRKB,Client,Price,mid,2024-05-30,426.33,USD
IBOR-BRKB,Client,Price,mid,2024-06-29,455.09,USD
IBOR-BRKB,Client,Price,mid,2024-07-29,419.19,USD
IBOR-BRKB,Client,Price,mid,2024-08-28,432.18,USD
IBOR-BRKB,Client,Price,mid,2024-09-27,461.83,USD
IBOR-BRKB,Client,Price,mid,2024-10-27,439.88,USD
IBOR-BRKB,Client,Price,mid,2024-11-26,445.04,USD
IBOR-BRKB,Client,Price,mid,2024-12-26,455.65,USD
IBOR-BRKB,Client,Price,mid,2025-01-25,440.43,USD
IBOR-BRKB,Client,Price,mid,2025-02-24,465.38,USD
IBOR-BRKB,Client,Price,mid,2025-03-26,448.85,USD
IBOR-BRKB,Client,Price,mid,2025-04-25,482.89,USD
IBOR-BRKB,Client,Price,mid,2025-05-25,474.22,USD
IBOR-LLY,Client,Price,mid,2024-01-01,802.77,USD
IBOR-LLY,Client,Price,mid,2024-01-31,757.55,USD
IBOR-LLY,Client,Price,mid,2024-03-01,793.28,USD
IBOR-LLY,Client,Price,mid,2024-03-31,730.58,USD
IBOR-LLY,Client,Price,mid,2024-04-30,768.83,USD
IBOR-LLY,Client,Price,mid,2024-05-30,787.79,USD
IBOR-LLY,Client,Price,mid,2024-06-29,832.37,USD
IBOR-LLY,Client,Price,mid,2024-07-29,749.81,USD
IBOR-LLY,Client,Price,mid,2024-08-28,827.14,USD
IBOR-LLY,Client,Price,mid,2024-09-27,823.96,USD
IBOR-LLY,Client,Price,mid,2024-10-27,855.94,USD
IBOR-LLY,Client,Price,mid,2024-11-26,841.7,USD
IBOR-LLY,Client,Price,mid,2024-12-26,831.67,USD
IBOR-LLY,Client,Price,mid,2025-01-25,823.91,USD
IBOR-LLY,Client,Price,mid,2025-02-24,812.14,USD
IBOR-LLY,Client,Price,mid,2025-03-26,857.27,USD
IBOR-LLY,Client,Price,mid,2025-04-25,854.41,USD
IBOR-LLY,Client,Price,mid,2025-05-25,919.69,USD
IBOR-MU,Client,Price,mid,2024-01-01,419.4,USD
IBOR-MU,Client,Price,mid,2024-01-31,437.7,USD
IBOR-MU,Client,Price,mid,2024-03-01,413.31,USD
IBOR-MU,Client,Price,mid,2024-03-31,435.27,USD
IBOR-MU,Client,Price,mid,2024-04-30,449.41,USD
IBOR-MU,Client,Price,mid,2024-05-30,462.12,USD
IBOR-MU,Client,Price,mid,2024-06-29,475.77,USD
IBOR-MU,Client,Price,mid,2024-07-29,457.4,USD
IBOR-MU,Client,Price,mid,2024-08-28,445.36,USD
IBOR-MU,Client,Price,mid,2024-09-27,473.39,USD
IBOR-MU,Client,Price,mid,2024-10-27,478.49,USD
IBOR-MU,Client,Price,mid,2024-11-26,482.31,USD
IBOR-MU,Client,Price,mid,2024-12-26,468.48,USD
IBOR-MU,Client,Price,mid,2025-01-25,500.42,USD
IBOR-MU,Client,Price,mid,2025-02-24,488.81,USD
IBOR-MU,Client,Price,mid,2025-03-26,502.27,USD
IBOR-MU,Client,Price,mid,2025-04-25,515.16,USD
IBOR-MU,Client,Price,mid,2025-05-25,509.31,USD
IBOR-WMT,Client,Price,mid,2024-01-01,109.55,USD
IBOR-WMT,Client,Price,mid,2024-01-31,117.76,USD
IBOR-WMT,Client,Price,mid,2024-03-01,111.51,USD
IBOR-WMT,Client,Price,mid,2024-03-31,110.51,USD
IBOR-WMT,Client,Price,mid,2024-04-30,113.13,USD
IBOR-WMT,Client,Price,mid,2024-05-30,119.44,USD
IBOR-WMT,Client,Price,mid,2024-06-29,115.29,USD
IBOR-WMT,Client,Price,mid,2024-07-29,117.88,USD
IBOR-WMT,Client,Price,mid,2024-08-28,121.53,USD
IBOR-WMT,Client,Price,mid,2024-09-27,116.06,USD
IBOR-WMT,Client,Price,mid,2024-10-27,112.48,USD
IBOR-WMT,Client,Price,mid,2024-11-26,121.29,USD
IBOR-WMT,Client,Price,mid,2024-12-26,122.09,USD
IBOR-WMT,Client,Price,mid,2025-01-25,119.95,USD
IBOR-WMT,Client,Price,mid,2025-02-24,126.67,USD
IBOR-WMT,Client,Price,mid,2025-03-26,126.73,USD
IBOR-WMT,Client,Price,mid,2025-04-25,121.65,USD
IBOR-WMT,Client,Price,mid,2025-05-25,128.51,USD
IBOR-AMD,Client,Price,mid,2024-01-01,272.83,USD
IBOR-AMD,Client,Price,mid,2024-01-31,263.04,USD
IBOR-AMD,Client,Price,mid,2024-03-01,284.51,USD
IBOR-AMD,Client,Price,mid,2024-03-31,282.37,USD
IBOR-AMD,Client,Price,mid,2024-04-30,278.28,USD
IBOR-AMD,Client,Price,mid,2024-05-30,293.27,USD
IBOR-AMD,Client,Price,mid,2024-06-29,295.62,USD
IBOR-AMD,Client,Price,mid,2024-07-29,287.98,USD
IBOR-AMD,Client,Price,mid,2024-08-28,300.16,USD
IBOR-AMD,Client,Price,mid,2024-09-27,308.81,USD
IBOR-AMD,Client,Price,mid,2024-10-27,294.75,USD
IBOR-AMD,Client,Price,mid,2024-11-26,308.05,USD
IBOR-AMD,Client,Price,mid,2024-12-26,307.08,USD
IBOR-AMD,Client,Price,mid,2025-01-25,331.71,USD
IBOR-AMD,Client,Price,mid,2025-02-24,294.38,USD
IBOR-AMD,Client,Price,mid,2025-03-26,321.87,USD
IBOR-AMD,Client,Price,mid,2025-04-25,314.85,USD
IBOR-AMD,Client,Price,mid,2025-05-25,319.55,USD
IBOR-COST,Client,Price,mid,2024-01-01,901.61,USD
IBOR-COST,Client,Price,mid,2024-01-31,852.93,USD
IBOR-COST,Client,Price,mid,2024-03-01,928.29,USD
IBOR-COST,Client,Price,mid,2024-03-31,856.57,USD
IBOR-COST,Client,Price,mid,2024-04-30,888.49,USD
IBOR-COST,Client,Price,mid,2024-05-30,871.68,USD
IBOR-COST,Client,Price,mid,2024-06-29,874.0,USD
IBOR-COST,Client,Price,mid,2024-07-29,904.75,USD
IBOR-COST,Client,Price,mid,2024-08-28,902.74,USD
IBOR-COST,Client,Price,mid,2024-09-27,925.49,USD
IBOR-COST,Client,Price,mid,2024-10-27,864.96,USD
IBOR-COST,Client,Price,mid,2024-11-26,995.73,USD
IBOR-COST,Client,Price,mid,2024-12-26,939.32,USD
IBOR-COST,Client,Price,mid,2025-01-25,1004.56,USD
IBOR-COST,Client,Price,mid,2025-02-24,930.83,USD
IBOR-COST,Client,Price,mid,2025-03-26,977.87,USD
IBOR-COST,Client,Price,mid,2025-04-25,1071.81,USD
IBOR-COST,Client,Price,mid,2025-05-25,959.78,USD
IBOR-MA,Client,Price,mid,2024-01-01,408.71,USD
IBOR-MA,Client,Price,mid,2024-01-31,427.38,USD
IBOR-MA,Client,Price,mid,2024-03-01,447.13,USD
