TransactionId,Portfolio,Type,ClientInternal,Units,Price,Currency,TradeDate,Strategy,CustodianAccount,Broker,SettlementDate,ValueDate,TradeTime,ExecutionVenue,OrderId,AllocationId,CounterpartyId,SettlementInstructionType,CommissionAmount,CommissionCurrency,TaxAmount,AccruedInterest,SettlementStatus,ConfirmationStatus,TradeSource,PlaceOfTrade,PlaceOfClearing,OriginalOrderType,CounterpartyName,SettlementMethod,PlaceOfSettlement,RegulatoryReportingStatus,ExecutingEntity
GAGG-001,IBOR-GAGG,Buy,IBOR-GAGG-001,1263251,0.8095,USD,2024-02-15,HighYield,CUST-BNY-001,GS,2024-02-19,2024-02-19,10:43:59,Bloomberg,ORD-20240215-0001,ALLOC-20240215-0001,CP-JPM,DVP,279.15,USD,0,1737.78,Settled,Confirmed,Manual Entry,CBOE,LCH,VWAP,JPMorgan,DVP,DTCC,Reported,IBOR Asset Management
GAGG-002,IBOR-GAGG,Buy,IBOR-GAGG-002,3860000,0.1447,CNY,2024-02-22,HighYield,CUST-JPM-002,JPM,2024-02-26,2024-02-26,13:51:08,OTC,ORD-20240222-0002,ALLOC-20240222-0002,CP-HSBC,DVP,362.69,CNY,0,10215.19,Settled,Confirmed,Manual Entry,CBOE,Euroclear,Market,HSBC,DVP,DTCC,Reported,IBOR Trading Desk
GAGG-003,IBOR-GAGG,Buy,IBOR-GAGG-003,432654,0.8073,USD,2024-02-29,HighYield,CUST-STATE-003,MS,2024-03-04,2024-03-04,14:55:58,OTC,ORD-20240229-0003,ALLOC-20240229-0003,CP-CITI,DVP,237.63,USD,0,5598.87,Settled,Confirmed,FIX Gateway,NYSE,LCH,TWAP,Citigroup,DVP,DTCC,Reported,IBOR Asset Management
GAGG-004,IBOR-GAGG,Buy,IBOR-GAGG-004,340000,0.9982,USD,2024-03-07,InvestmentGrade,CUST-BNY-001,UBS,2024-03-11,2024-03-11,10:42:30,Tradeweb,ORD-20240307-0004,ALLOC-20240307-0004,CP-JPM,DVP,162.94,USD,0,8565.85,Settled,Confirmed,Bloomberg OMS,NYSE,DTCC/NSCC,TWAP,JPMorgan,DVP,DTCC,Reported,IBOR Trading Desk
GAGG-005,IBOR-GAGG,Buy,IBOR-GAGG-005,1980000,0.1565,CNY,2024-03-14,HighYield,CUST-JPM-002,BARC,2024-03-18,2024-03-18,11:51:27,OTC,ORD-20240314-0005,ALLOC-20240314-0005,CP-CITI,DVP,69.15,CNY,0,4462.42,Settled,Confirmed,Aladdin,LSE,Euroclear,Limit,Citigroup,DVP,DTCC,Reported,IBOR Trading Desk
GAGG-006,IBOR-GAGG,Buy,IBOR-GAGG-006,360893,0.8597,USD,2024-03-21,HighYield,CUST-STATE-003,CS,2024-03-25,2024-03-25,13:00:11,Tradeweb,ORD-20240321-0006,ALLOC-20240321-0006,CP-DB,DVP,79.32,USD,0,11244.05,Settled,Confirmed,Bloomberg OMS,NYSE,DTCC/NSCC,VWAP,Deutsche Bank,DVP,DTCC,Reported,IBOR Asset Management
GAGG-007,IBOR-GAGG,Buy,IBOR-GAGG-007,358696,0.8478,USD,2024-03-28,HighYield,CUST-BNY-001,GS,2024-04-01,2024-04-01,16:13:24,Bloomberg,ORD-20240328-0007,ALLOC-20240328-0007,CP-UBS,DVP,143.75,USD,0,5865.77,Settled,Confirmed,Tradeweb,NASDAQ,DTCC/NSCC,Market,UBS,DVP,DTCC,Reported,IBOR Trading Desk
GAGG-008,IBOR-GAGG,Buy,IBOR-GAGG-008,288500,0.9954999999999999,USD,2024-04-04,InvestmentGrade,CUST-JPM-002,JPM,2024-04-08,2024-04-08,09:56:03,Tradeweb,ORD-20240404-0008,ALLOC-20240404-0008,CP-MS,DVP,230.78,USD,0,1221.56,Settled,Confirmed,Bloomberg OMS,NASDAQ,DTCC/NSCC,VWAP,Morgan Stanley,DVP,DTCC,Reported,IBOR Trading Desk
GAGG-009,IBOR-GAGG,Buy,IBOR-GAGG-009,291500,0.9176000000000001,USD,2024-04-11,InvestmentGrade,CUST-STATE-003,MS,2024-04-15,2024-04-15,15:42:27,Bloomberg,ORD-20240411-0009,ALLOC-20240411-0009,CP-UBS,DVP,142.12,USD,0,3625.75,Settled,Confirmed,FIX Gateway,CBOE,DTCC/NSCC,LOC,UBS,DVP,DTCC,Reported,IBOR Asset Management
GAGG-010,IBOR-GAGG,Buy,IBOR-GAGG-010,241400,0.9945999999999999,USD,2024-04-18,InvestmentGrade,CUST-BNY-001,UBS,2024-04-22,2024-04-22,13:27:07,MarketAxess,ORD-20240418-0010,ALLOC-20240418-0010,CP-UBS,DVP,149.23,USD,0,4972.08,Settled,Confirmed,Charles River IMS,LSE,DTCC/NSCC,MOC,UBS,DVP,DTCC,Reported,IBOR Trading Desk
GAGG-011,IBOR-GAGG,Buy,IBOR-GAGG-011,1391000,0.1565,CNY,2024-04-25,HighYield,CUST-JPM-002,BARC,2024-04-29,2024-04-29,08:00:13,MarketAxess,ORD-20240425-0011,ALLOC-20240425-0011,CP-BARC,DVP,177.17,CNY,0,11580.33,Settled,Confirmed,Aladdin,NYSE,Euroclear,TWAP,Barclays,DVP,DTCC,Reported,IBOR Trading Desk
GAGG-012,IBOR-GAGG,Buy,IBOR-GAGG-012,1313000,0.14980000000000002,CNY,2024-05-02,HighYield,CUST-STATE-003,CS,2024-05-06,2024-05-06,09:00:31,Bloomberg,ORD-20240502-0012,ALLOC-20240502-0012,CP-MS,DVP,59.66,CNY,0,8222.44,Settled,Confirmed,Charles River IMS,LSE,LCH,VWAP,Morgan Stanley,DVP,DTCC,Reported,IBOR Trading Desk
GAGG-013,IBOR-GAGG,Buy,IBOR-GAGG-013,162500,1.1638,EUR,2024-05-09,InvestmentGrade,CUST-BNY-001,GS,2024-05-13,2024-05-13,09:25:55,OTC,ORD-20240509-0013,ALLOC-20240509-0013,CP-DB,DVP,40.66,EUR,0,13856.86,Settled,Confirmed,Aladdin,NYSE,Clearstream,VWAP,Deutsche Bank,DVP,Clearstream,Reported,IBOR Trading Desk
GAGG-014,IBOR-GAGG,Buy,IBOR-GAGG-014,223213,0.8423999999999999,USD,2024-05-16,HighYield,CUST-JPM-002,JPM,2024-05-20,2024-05-20,14:18:07,Bloomberg,ORD-20240516-0014,ALLOC-20240516-0014,CP-GS,DVP,182.95,USD,0,2992.16,Settled,Confirmed,FIX Gateway,CBOE,DTCC/NSCC,LOC,Goldman Sachs,DVP,DTCC,Reported,IBOR Trading Desk
GAGG-015,IBOR-GAGG,Buy,IBOR-GAGG-015,31540000,0.0058,JPY,2024-05-23,HighYield,CUST-STATE-003,MS,2024-05-27,2024-05-27,13:05:27,OTC,ORD-20240523-0015,ALLOC-20240523-0015,CP-BARC,DVP,100.35,JPY,0,6306.52,Settled,Confirmed,Bloomberg OMS,NASDAQ,Euroclear,VWAP,Barclays,DVP,DTCC,Reported,IBOR Trading Desk
GAGG-016,IBOR-GAGG,Buy,IBOR-GAGG-016,29979500,0.006,JPY,2024-05-30,HighYield,CUST-BNY-001,UBS,2024-06-03,2024-06-03,12:47:21,Tradeweb,ORD-20240530-0016,ALLOC-20240530-0016,CP-BNP,DVP,148.09,JPY,0,1607.5,Settled,Confirmed,Tradeweb,CBOE,Euroclear,VWAP,BNP Paribas,DVP,DTCC,Reported,IBOR Asset Management
GAGG-017,IBOR-GAGG,Buy,IBOR-GAGG-017,211370,0.8403,USD,2024-06-06,HighYield,CUST-JPM-002,BARC,2024-06-10,2024-06-10,16:32:12,MarketAxess,ORD-20240606-0017,ALLOC-20240606-0017,CP-BNP,DVP,138.88,USD,0,12374.75,Settled,Confirmed,Charles River IMS,LSE,LCH,TWAP,BNP Paribas,DVP,DTCC,Reported,IBOR Asset Management
GAGG-018,IBOR-GAGG,Buy,IBOR-GAGG-018,142900,1.1665,EUR,2024-06-13,InvestmentGrade,CUST-STATE-003,CS,2024-06-17,2024-06-17,09:09:16,Tradeweb,ORD-20240613-0018,ALLOC-20240613-0018,CP-MS,DVP,113.67,EUR,0,11523.12,Settled,Confirmed,Tradeweb,LSE,Euroclear,MOC,Morgan Stanley,DVP,Euroclear,Reported,IBOR Asset Management
