TransactionId,Portfolio,Type,ClientInternal,Units,Price,Currency,TradeDate,Strategy,CustodianAccount,Broker,SettlementDate,ValueDate,TradeTime,ExecutionVenue,OrderId,AllocationId,CounterpartyId,SettlementInstructionType,CommissionAmount,CommissionCurrency,TaxAmount,AccruedInterest,SettlementStatus,ConfirmationStatus,TradeSource,PlaceOfTrade,PlaceOfClearing,OriginalOrderType,CounterpartyName,SettlementMethod,PlaceOfSettlement,RegulatoryReportingStatus,ExecutingEntity
SP500-001,IBOR-SP500,Buy,IBOR-NVDA,568,213.17,USD,2024-02-01,LargeCapCore,CUST-BNY-001,GS,2024-02-02,2024-02-02,14:03:13,ARCA,ORD-20240201-0001,ALLOC-20240201-0001,CP-DB,DVP,111.86,USD,0,0,Settled,Confirmed,FIX Gateway,LSE,LCH,Market,Deutsche Bank,DVP,DTCC,Reported,IBOR Asset Management
SP500-002,IBOR-SP500,Buy,IBOR-AAPL,343,270.71,USD,2024-02-04,LargeCapCore,CUST-JPM-002,JPM,2024-02-05,2024-02-05,14:30:00,CBOE,ORD-20240204-0002,ALLOC-20240204-0002,CP-CITI,DVP,74.54,USD,0,0,Settled,Confirmed,Manual Entry,CBOE,DTCC/NSCC,Limit,Citigroup,DVP,DTCC,Reported,IBOR Asset Management
SP500-003,IBOR-SP500,Buy,IBOR-MSFT,173,429.25,USD,2024-02-07,LargeCapCore,CUST-STATE-003,MS,2024-02-08,2024-02-08,15:14:17,ARCA,ORD-20240207-0003,ALLOC-20240207-0003,CP-UBS,DVP,16.58,USD,0,0,Settled,Confirmed,Aladdin,NASDAQ,LCH,Market,UBS,DVP,DTCC,Reported,IBOR Trading Desk
SP500-004,IBOR-SP500,Buy,IBOR-AMZN,228,259.70,USD,2024-02-10,LargeCapCore,CUST-BNY-001,UBS,2024-02-12,2024-02-12,10:53:29,NASDAQ,ORD-20240210-0004,ALLOC-20240210-0004,CP-HSBC,DVP,13.12,USD,0,0,Settled,Confirmed,Manual Entry,NASDAQ,LCH,TWAP,HSBC,DVP,DTCC,Reported,IBOR Asset Management
SP500-005,IBOR-SP500,Buy,IBOR-GOOGL,136,349.78,USD,2024-02-13,LargeCapCore,CUST-JPM-002,BARC,2024-02-14,2024-02-14,09:41:27,NASDAQ,ORD-20240213-0005,ALLOC-20240213-0005,CP-UBS,DVP,16.43,USD,0,0,Settled,Confirmed,Aladdin,NASDAQ,DTCC/NSCC,Market,UBS,DVP,DTCC,Reported,IBOR Trading Desk
SP500-006,IBOR-SP500,Buy,IBOR-AVGO,110,399.83,USD,2024-02-16,LargeCapCore,CUST-STATE-003,CS,2024-02-19,2024-02-19,13:13:29,CBOE,ORD-20240216-0006,ALLOC-20240216-0006,CP-BNP,DVP,35.58,USD,0,0,Settled,Confirmed,Manual Entry,NYSE,DTCC/NSCC,Limit,BNP Paribas,DVP,DTCC,Reported,IBOR Trading Desk
SP500-007,IBOR-SP500,Buy,IBOR-GOOG,109,347.50,USD,2024-02-19,LargeCapCore,CUST-BNY-001,GS,2024-02-20,2024-02-20,14:16:53,NYSE,ORD-20240219-0007,ALLOC-20240219-0007,CP-UBS,DVP,8.16,USD,0,0,Settled,Confirmed,FIX Gateway,CBOE,LCH,TWAP,UBS,DVP,DTCC,Reported,IBOR Asset Management
SP500-008,IBOR-SP500,Buy,IBOR-META,100,671.34,USD,2024-02-22,LargeCapCore,CUST-JPM-002,JPM,2024-02-23,2024-02-23,13:14:41,NYSE,ORD-20240222-0008,ALLOC-20240222-0008,CP-GS,DVP,53.93,USD,0,0,Settled,Confirmed,Charles River IMS,CBOE,DTCC/NSCC,Limit,Goldman Sachs,DVP,DTCC,Reported,IBOR Asset Management
SP500-009,IBOR-SP500,Buy,IBOR-TSLA,100,376.02,USD,2024-02-25,LargeCapCore,CUST-STATE-003,MS,2024-02-26,2024-02-26,08:39:09,NASDAQ,ORD-20240225-0009,ALLOC-20240225-0009,CP-MS,DVP,21.77,USD,0,0,Settled,Confirmed,Bloomberg OMS,NYSE,DTCC/NSCC,Market,Morgan Stanley,DVP,DTCC,Reported,IBOR Asset Management
SP500-010,IBOR-SP500,Buy,IBOR-BRKB,100,478.16,USD,2024-02-28,LargeCapCore,CUST-BNY-001,UBS,2024-02-29,2024-02-29,15:44:16,CBOE,ORD-20240228-0010,ALLOC-20240228-0010,CP-MS,DVP,32.74,USD,0,0,Settled,Confirmed,Tradeweb,CBOE,LCH,LOC,Morgan Stanley,DVP,DTCC,Reported,IBOR Asset Management
